"co_cid";"no_cid"
"V455";"Ocupante de carro traum. em col. c/veíc. ferrov. - condutor traumatizado em acidente de trânsito"
"V456";"Ocupante de carro traum. em col. c/veíc. ferrov. - passageiro traumatizado em acidente trânsito"
"V457";"Ocupante de carro traum. em col. c/veíc. ferrov. - pess. viaj. ext. veíc. traum. acid. trânsito"
"V459";"Ocupante de carro traum. em col. c/veíc. ferrov. - ocup. ñ espec. do carro traum. acid. trânsito"
"V46 ";"Ocupante de um automóvel (carro) traumatizado em colisão com outro veículo não-motorizado"
"V460";"Ocupante de carro traum. em col. c/veíc. ñ-motor. - condutor traum. acid. ñ-trânsito"
"V461";"Ocupante de carro traum. em col. c/veíc. ñ-motor. - passag. traum. acid. ñ-trânsito"
"V462";"Ocupante de carro traum. em col. c/veíc. ñ-motor. - pess. viaj ext veíc. traum. acid. ñ-trânsito"
"V463";"Ocupante de carro traum. em col. c/veíc. ñ-motor. - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V464";"Ocupante de carro traum. em col. c/veíc. ñ-motor. - pessoa traumatizada ao subir/descer veículo"
"V465";"Ocupante de carro traum. em col. c/veíc. ñ-motor. - condutor traumatizado em acidente de trânsito"
"V466";"Ocupante de carro traum. em col. c/veíc. ñ-motor. - passageiro traumatizado em acidente trânsito"
"V467";"Ocupante de carro traum. em col. c/veíc. ñ-motor. - pess. viaj. ext. veíc. traum. acid. trânsito"
"V469";"Ocupante de carro traum. em col. c/veíc. ñ-motor. - ocup. ñ espec. do carro traum. acid. trânsito"
"V47 ";"Ocupante de um automóvel (carro) traumatizado em colisão com um objeto fixo ou parado"
"V470";"Ocupante de carro traum. em col. c/obj. fixo/parado - condutor traum. acid. ñ-trânsito"
"V471";"Ocupante de carro traum. em col. c/obj. fixo/parado - passag. traum. acid. ñ-trânsito"
"V472";"Ocupante de carro traum. em col. c/obj. fixo/parado - pess. viaj. ext veíc traum. acid. ñ-trânsito"
"V473";"Ocupante de carro traum. em col. c/obj. fixo/parado - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V474";"Ocupante de carro traum. em col. c/obj. fixo/parado - pessoa traumatizada ao subir/descer veículo"
"V475";"Ocupante de carro traum. em col. c/obj. fixo/parado - condutor traumatizado em acidente de trânsito"
"V476";"Ocupante de carro traum. em col. c/obj. fixo/parado - passageiro traumatizado em acidente trânsito"
"V477";"Ocupante de carro traum. em col. c/obj. fixo/parado - pess. viaj. ext. veíc. traum. acid. trânsito"
"V479";"Ocupante de carro traum. em col. c/obj. fixo/parado - ocup. ñ espec. do carro traum. acid. trânsito"
"V48 ";"Ocupante de um automóvel (carro) traumatizado em um acidente de transporte sem colisão"
"V480";"Ocupante de carro traum. em acid. transp. s/colisão - condutor traum. acid. ñ-trânsito"
"V481";"Ocupante de carro traum. em acid. transp. s/colisão - passag. traum. acid. ñ-trânsito"
"V482";"Ocupante de carro traum. em acid. transp. s/colisão - pess. viaj. ext veíc traum. acid. ñ-trânsito"
"V483";"Ocupante de carro traum. em acid. transp. s/colisão - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V484";"Ocupante de carro traum. em acid. transp. s/colisão - pessoa traumatizada ao subir/descer veículo"
"V485";"Ocupante de carro traum. em acid. transp. s/colisão - condutor traumatizado em acidente de trânsito"
"V486";"Ocupante de carro traum. em acid. transp. s/colisão - passageiro traumatizado em acidente trânsito"
"V487";"Ocupante de carro traum. em acid. transp. s/colisão - pess. viaj. ext. veíc. traum. acid. trânsito"
"V489";"Ocupante de carro traum. em acid. transp. s/colisão - ocup. ñ espec. do carro traum. acid. trânsito"
"V49 ";"Ocupante de automóvel traumatizado em outro acidentes de transporte e em acidentes de transporte ne"
"V490";"Condutor traum. em col. c/outr. veíc. e c/veíc. não especif. a motor em um acidente ñ-trânsito"
"V491";"Passageiro traum. em colisão c/outros veíc. e c/veíc. não espec. a motor em acidente ñ-trânsito"
"V492";"Ocupante ñ espec. de um carro traum. em colisão c/out. veíc. e c/veíc. a motor em acid. ñ-trânsito"
"V493";"Ocupante qualquer de um carro traumatizado em um acidente não especificado e ñ-trânsito"
"V494";"Condutor traum. em colisão c/out. veíc. e c/veículos não especif. a motor em um acidente de trânsito"
"V495";"Passageiro traum. em colisão c/outros veíc. e c/veíc. não especif. a motor em acidente de trânsito"
"V496";"Ocupante não espec. de um carro traum. em colisão c/out. veíc. a motor em acidente de trânsito"
"V498";"Ocupante de carro traumatizado em outros acidentes de transporte especificados"
"V499";"Ocupante de carro traumatizado em um acidente de trânsito não especificado"
"V50 ";"Ocupante de uma caminhonete traumatizado em colisão com um pedestre ou um animal"
"V500";"Ocupante caminhonete traum. em col. c/ped./animal - condutor traum. acid. ñ-trânsito"
"V501";"Ocupante caminhonete traum. em col. c/ped./animal - passag. traum. acid. ñ-trânsito"
"V502";"Ocupante caminhonete traum. em col. c/ped./animal - pess. viaj ext veíc. traum. acid. ñ-trânsito"
"V503";"Ocupante caminhonete traum. em col. c/ped./animal - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V504";"Ocupante caminhonete traum. em col. c/ped./animal - pessoa traumatizada ao subir/descer veículo"
"V505";"Ocupante caminhonete traum. em col. c/ped./animal - condutor traumatizado em acidente de trânsito"
"V506";"Ocupante caminhonete traum. em col. c/ped./animal - passageiro traumatizado em acidente trânsito"
"V507";"Ocupante caminhonete traum. em col. c/ped./animal - pess. viaj. ext. veíc. traum. acid. trânsito"
"V509";"Ocupante caminhonete traum. em col. c/ped./animal - ocup. ñ espec. do carro traum. acid. trânsito"
"V51 ";"Ocupante de uma caminhonete traumatizado em colisão com um veículo a pedal"
"V510";"Ocupante caminhonete traum. em col. c/veíc. pedal - condutor traum. acid. ñ-trânsito"
"V511";"Ocupante caminhonete traum. em col. c/veíc. pedal - passag. traum. acid. ñ-trânsito"
"V512";"Ocupante caminhonete traum. em col. c/veíc. pedal - pess. viaj ext veíc. traum. acid. ñ-trânsito"
"V513";"Ocupante caminhonete traum. em col. c/veíc. pedal - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V514";"Ocupante caminhonete traum. em col. c/veíc. pedal - pessoa traumatizada ao subir/descer veículo"
"V515";"Ocupante caminhonete traum. em col. c/veíc. pedal - condutor traumatizado em acidente de trânsito"
"V516";"Ocupante caminhonete traum. em col. c/veíc. pedal - passageiro traumatizado em acidente trânsito"
"V517";"Ocupante caminhonete traum. em col. c/veíc. pedal - pess. viaj. ext. veíc. traum. acid. trânsito"
"V519";"Ocupante caminhonete traum. em col. c/veíc. pedal - ocup. ñ espec. do carro traum. acid. trânsito"
"V52 ";"Ocupante de uma caminhonete traumatizado em colisão com veículo a motor de duas ou três rodas"
"V520";"Ocupante caminhon. traum. em col. c/veíc. 2/3 rodas - condutor traum. acid. ñ-trânsito"
"V521";"Ocupante caminhon. traum. em col. c/veíc. 2/3 rodas - passag. traum. acid. ñ-trânsito"
"V522";"Ocupante caminhon. traum. em col. c/veíc. 2/3 rodas - pess. viaj. ext veíc traum. acid. ñ-trânsito"
"V523";"Ocupante caminhon. traum. em col. c/veíc. 2/3 rodas - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V524";"Ocupante caminhon. traum. em col. c/veíc. 2/3 rodas - pessoa traumatizada ao subir/descer veículo"
"V525";"Ocupante caminhon. traum. em col. c/veíc. 2/3 rodas - condutor traumatizado em acidente de trânsito"
"V526";"Ocupante caminhon. traum. em col. c/veíc. 2/3 rodas - passageiro traumatizado em acidente trânsito"
"V527";"Ocupante caminhon. traum. em col. c/veíc. 2/3 rodas - pess. viaj. ext. veíc. traum. acid. trânsito"
"V529";"Ocupante caminhon. traum. em col. c/veíc. 2/3 rodas - ocup. ñ espec. do carro traum. acid. trânsito"
"V53 ";"Ocupante de uma caminhonete traumatizado em colisão com um automóvel (carro) ou uma caminhoneta"
"V530";"Ocupante caminhonete traum. em col. c/carro/pick-up - condutor traum. acid. ñ-trânsito"
"V531";"Ocupante caminhonete traum. em col. c/carro/pick-up - passag. traum. acid. ñ-trânsito"
"V532";"Ocupante caminhonete traum. em col. c/carro/pick-up - pess. viaj ext veíc. traum. acid. ñ-trânsito"
"V533";"Ocupante caminhonete traum. em col. c/carro/pick-up - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V534";"Ocupante caminhonete traum. em col. c/carro/pick-up - pessoa traumatizada ao subir/descer veículo"
"V535";"Ocupante caminhonete traum. em col. c/carro/pick-up - condutor traumatizado em acidente de trânsito"
"V536";"Ocupante caminhonete traum. em col. c/carro/pick-up - passageiro traumatizado em acidente trânsito"
"V537";"Ocupante caminhonete traum. em col. c/carro/pick-up - pess. viaj. ext. veíc. traum. acid. trânsito"
"V539";"Ocupante caminhonete traum. em col. c/carro/pick-up - ocup. ñ espec. do carro traum. acid. trânsito"
"V54 ";"Ocupante de uma caminhonete traumatizado em colisão com um veículo de transporte pesado ou um ônibus"
"V540";"Ocupante caminhonete traum. em col. c/trans. pesado - condutor traum. acid. ñ-trânsito"
"V541";"Ocupante caminhonete traum. em col. c/trans. pesado - passag. traum. acid. ñ-trânsito"
"V542";"Ocupante caminhonete traum. em col. c/trans. pesado - pess. viaj ext veíc. traum. acid. ñ-trânsito"
"V543";"Ocupante caminhonete traum. em col. c/trans. pesado - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V544";"Ocupante caminhonete traum. em col. c/trans. pesado - pessoa traumatizada ao subir/descer veículo"
"V545";"Ocupante caminhonete traum. em col. c/trans. pesado - condutor traumatizado em acidente de trânsito"
"V546";"Ocupante caminhonete traum. em col. c/trans. pesado - passageiro traumatizado em acidente trânsito"
"V547";"Ocupante caminhonete traum. em col. c/trans. pesado - pess. viaj. ext. veíc. traum. acid. trânsito"
"V549";"Ocupante caminhonete traum. em col. c/trans. pesado - ocup. ñ espec. do carro traum. acid. trânsito"
"V55 ";"Ocupante de uma caminhonete traumatizado em colisão com um trem (comboio) ou veículo ferroviário"
"V550";"Ocupante caminhonete traum. em col. c/veíc. ferrov. - condutor traum. acid. ñ-trânsito"
"V551";"Ocupante caminhonete traum. em col. c/veíc. ferrov. - passag. traum. acid. ñ-trânsito"
"V552";"Ocupante caminhonete traum. em col. c/veíc. ferrov. - pess. viaj ext veíc. traum. acid. ñ-trânsito"
"V553";"Ocupante caminhonete traum. em col. c/veíc. ferrov. - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V554";"Ocupante caminhonete traum. em col. c/veíc. ferrov. - pessoa traumatizada ao subir/descer veículo"
"V555";"Ocupante caminhonete traum. em col. c/veíc. ferrov. - condutor traumatizado em acidente de trânsito"
"V556";"Ocupante caminhonete traum. em col. c/veíc. ferrov. - passageiro traumatizado em acidente trânsito"
"V557";"Ocupante caminhonete traum. em col. c/veíc. ferrov. - pess. viaj. ext. veíc. traum. acid. trânsito"
"V559";"Ocupante caminhonete traum. em col. c/veíc. ferrov. - ocup. ñ espec. do carro traum. acid. trânsito"
"V56 ";"Ocupante de uma caminhonete traumatizado em colisão com outro veículo não-motorizado"
"V560";"Ocupante caminhonete traum. em col. c/veíc. ñ-motor - condutor traum. acid. ñ-trânsito"
"V561";"Ocupante caminhonete traum. em col. c/veíc. ñ-motor - passag. traum. acid. ñ-trânsito"
"V562";"Ocupante caminhonete traum. em col. c/veíc. ñ-motor - pess. viaj ext veíc. traum. acid. ñ-trânsito"
"V563";"Ocupante caminhonete traum. em col. c/veíc. ñ-motor - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V564";"Ocupante caminhonete traum. em col. c/veíc. ñ-motor - pessoa traumatizada ao subir/descer veículo"
"V565";"Ocupante caminhonete traum. em col. c/veíc. ñ-motor - condutor traumatizado em acidente de trânsito"
"V566";"Ocupante caminhonete traum. em col. c/veíc. ñ-motor - passageiro traumatizado em acidente trânsito"
"V567";"Ocupante caminhonete traum. em col. c/veíc. ñ-motor - pess. viaj. ext. veíc. traum. acid. trânsito"
"V569";"Ocupante caminhonete traum. em col. c/veíc. ñ-motor - ocup. ñ espec. do carro traum. acid. trânsito"
"V57 ";"Ocupante de uma caminhonete traumatizado em colisão com um objeto fixo ou parado"
"V570";"Ocupante caminhonete traum. col. c/obj. fixo/parado - condutor traum. acid. ñ-trânsito"
"V571";"Ocupante caminhonete traum. col. c/obj. fixo/parado - passag. traum. acid. ñ-trânsito"
"V572";"Ocupante caminhonete traum. col. c/obj. fixo/parado - pess. viaj ext veíc. traum. acid. ñ-trânsito"
"V573";"Ocupante caminhonete traum. col. c/obj. fixo/parado - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V574";"Ocupante caminhonete traum. col. c/obj. fixo/parado - pessoa traumatizada ao subir/descer veículo"
"V575";"Ocupante caminhonete traum. col. c/obj. fixo/parado - condutor traumatizado em acidente de trânsito"
"V576";"Ocupante caminhonete traum. col. c/obj. fixo/parado - passageiro traumatizado em acidente trânsito"
"V577";"Ocupante caminhonete traum. col. c/obj. fixo/parado - pess. viaj. ext. veíc. traum. acid. trânsito"
"V579";"Ocupante caminhonete traum. col. c/obj. fixo/parado - ocup. ñ espec. do carro traum. acid. trânsito"
"V58 ";"Ocupante de uma caminhonete traumatizado em um acidente de transporte sem colisão"
"V580";"Ocupante caminhonete traum. acid. transp. s/colisão - condutor traum. acid. ñ-trânsito"
"V581";"Ocupante caminhonete traum. acid. transp. s/colisão - passag. traum. acid. ñ-trânsito"
"V582";"Ocupante caminhonete traum. acid. transp. s/colisão - pess. viaj ext veíc. traum. acid. ñ-trânsito"
"V583";"Ocupante caminhonete traum. acid. transp. s/colisão - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V584";"Ocupante caminhonete traum. acid. transp. s/colisão - pessoa traumatizada ao subir/descer veículo"
"V585";"Ocupante caminhonete traum. acid. transp. s/colisão - condutor traumatizado em acidente de trânsito"
"V586";"Ocupante caminhonete traum. acid. transp. s/colisão - passageiro traumatizado em acidente trânsito"
"V587";"Ocupante caminhonete traum. acid. transp. s/colisão - pess. viaj. ext. veíc. traum. acid. trânsito"
"V589";"Ocupante caminhonete traum. acid. transp. s/colisão - ocup. ñ espec. do carro traum. acid. trânsito"
"V59 ";"Ocupante de caminhonete traumatizado em outros acidentes de transporte em acidentes de transporte ne"
"V590";"Condutor traum. em col. c/outr. veíc. e c/veíc. não especif. a motor em um acidente ñ-trânsito"
"V591";"Passageiro traum. em colisão c/outros veíc. e c/veíc. não espec. a motor em acidente ñ-trânsito"
"V592";"Ocupante ñ espec. de um caminh. traum. em colisão c/out. veíc. e c/veíc. motor em acid. ñ-trânsito"
"V593";"Ocupante qualquer de uma caminhonete traumatizado em um acidente não especificado e ñ-trânsito"
"V594";"Condutor traum. em colisão c/out. veíc. e c/veículos não especif. a motor em um acidente de trânsito"
"V595";"Passageiro caminhonet. traum. em colisão c/outros veíc. e c/veíc. não espec. motor em acid. trânsito"
"V596";"Ocupante não espec. de caminhonete traum. em colisão c/out. veíc. a motor em acidente de trânsito"
"V598";"Ocupante [qualquer] de uma caminhonete traumatizado em outros acidentes de transporte especificados"
"V599";"Ocupante [qualquer] de uma caminhonete traumatizado em um acidente de trânsito não especificado"
"V60 ";"Ocupante de um veículo de transporte pesado traumatizado em colisão com um pedestre ou um animal"
